ORF,Protein Molecules/Cell
YDR121W,NA
YDR122W,71
YDR123C,NA
YDR125C,NA
YDR127W,2296
YDR128W,62
YDR129C,1070
YDR130C,NA
YDR131C,NA
YDR132C,NA
YDR135C,426
YDR137W,NA
YDR138W,128
YDR139C,47
YDR140W,103
YDR141C,232
YDR144C,NA
YDR145W,122
YDR146C,NA
YDR147W,NA
YDR148C,43
YDR150W,119
YDR152W,536
YDR153C,286
YDR155C,3911
YDR156W,265
YDR158W,2654
YDR159W,96
YDR161W,183
YDR164C,NA
YDR165W,312
YDR166C,103
YDR167W,NA
YDR168W,406
YDR169C,77
YDR170C,243
YDR170W-A,473
YDR171W,95
YDR172W,1440
YDR173C,NA
YDR174W,861
YDR175C,60
YDR176W,94
YDR177W,196
YDR178W,NA
YDR179C,NA
YDR180W,49
YDR181C,NA
YDR182W,NA
YDR183W,53
YDR184C,NA
YDR185C,NA
YDR186C,88
YDR189W,261
YDR190C,577
YDR191W,NA
YDR193W,NA
YDR194C,376
YDR195W,102
YDR196C,89
YDR197W,NA
YDR200C,39
YDR201W,NA
YDR202C,80
YDR204W,NA
YDR205W,126
YDR207C,69
YDR208W,61
YDR210W,96
YDR211W,415
YDR213W,NA
YDR214W,662
YDR216W,NA
YDR217C,77
YDR219C,62
YDR221W,77
YDR222W,NA
YDR224C,7684
YDR225W,NA
YDR226W,3474
YDR227W,63
YDR228C,67
YDR229W,105
YDR231C,85
YDR232W,118
YDR233C,2606
YDR234W,1282
YDR235W,82
YDR236C,59
YDR238C,872
YDR239C,48
YDR240C,NA
YDR243C,43
YDR244W,55
YDR245W,77
YDR246W,165
YDR247W,88
YDR248C,NA
YDR250C,52
YDR251W,NA
YDR252W,NA
YDR253C,NA
YDR254W,NA
YDR257C,183
YDR258C,495
YDR261C,NA
YDR262W,101
YDR264C,399
YDR265W,50
YDR266C,86
YDR267C,NA
YDR268W,NA
YDR270W,58
YDR272W,382
YDR275W,NA
YDR276C,NA
YDR279W,NA
YDR280W,354
YDR281C,NA
YDR283C,74
YDR284C,NA
YDR288W,87
YDR291W,39
YDR293C,496
YDR294C,243
YDR295C,62
YDR296W,225
YDR297W,298
YDR298C,141
YDR299W,484
YDR300C,471
YDR301W,132
YDR302W,343
YDR303C,NA
YDR304C,136
YDR305C,59
YDR307W,109
YDR308C,67
YDR309C,NA
YDR310C,105
YDR311W,84
YDR312W,90
YDR313C,76
YDR314C,NA
YDR316W,45
YDR318W,NA
YDR319C,NA
YDR320C,114
YDR320C-A,107
YDR322C-A,77
YDR322W,110
YDR323C,NA
YDR324C,299
YDR325W,78
YDR326C,NA
YDR328C,276
YDR329C,81
YDR330W,NA
YDR331W,152
YDR332W,NA
YDR333C,NA
YDR334W,NA
YDR335W,190
YDR337W,NA
YDR338C,49
YDR343C,2940
YDR344C,NA
YDR345C,2565
YDR346C,778
YDR347W,154
YDR348C,144
YDR349C,47
YDR350C,NA
YDR352W,217
YDR353W,1737
YDR354W,636
YDR356W,131
YDR357C,NA
YDR358W,47
YDR361C,502
YDR362C,42
YDR363W,NA
YDR363W-A,831
YDR364C,NA
YDR365C,322
YDR367W,226
YDR368W,221
YDR369C,NA
YDR370C,NA
YDR371W,53
YDR372C,198
