ORF,Protein Molecules/Cell
YDR205W,1.07E+03
YDR206W,-
YDR207C,2.17E+02
YDR208W,-
YDR209C,-
YDR210W,1.31E+04
YDR211W,3.38E+04
YDR212W,-
YDR213W,7.52E+02
YDR214W,1.39E+04
YDR215C,-
YDR216W,%
YDR217C,4.00E+02
YDR218C,-
YDR219C,1.36E+03
YDR220C,-
YDR221W,9.76E+03
YDR222W,1.01E+03
YDR223W,-
YDR224C,#
YDR225W,-
YDR226W,1.23E+05
YDR227W,#
YDR228C,2.80E+03
YDR229W,2.84E+03
YDR230W,-
YDR231C,%
YDR232W,2.26E+04
YDR233C,3.71E+04
YDR234W,7.35E+03
YDR235W,1.73E+03
YDR236C,8.30E+02
YDR237W,-
YDR238C,2.60E+04
YDR239C,1.55E+02
YDR240C,3.61E+02
YDR241W,-
YDR242W,-
YDR243C,#
YDR244W,2.07E+03
YDR245W,6.28E+03
YDR246W,3.13E+03
YDR247W,7.84E+02
YDR248C,5.04E+02
YDR249C,-
YDR250C,%
YDR251W,3.00E+02
YDR252W,1.82E+03
YDR253C,#
YDR254W,6.06E+02
YDR255C,-
YDR256C,6.23E+02
YDR257C,4.01E+03
YDR258C,2.99E+03
YDR259C,1.35E+03
YDR260C,-
YDR261C,2.41E+03
YDR262W,4.85E+03
YDR263C,-
YDR264C,4.07E+03
YDR265W,-
YDR266C,1.91E+03
YDR267C,5.64E+03
YDR268W,6.72E+02
YDR269C,-
YDR270W,-
YDR271C,-
YDR272W,1.37E+04
YDR273W,-
YDR274C,-
YDR275W,9.22E+02
YDR276C,#
YDR277C,%
YDR278C,-
YDR279W,2.34E+03
YDR280W,4.80E+03
YDR281C,-
YDR282C,-
YDR283C,2.79E+02
YDR284C,3.04E+03
YDR285W,3.91E+02
